District,Bonnie Watson COLEMAN,Steven J. UCCIO,R. Edward FORCHION,Robert SHAPIRO,Thomas FITZPATRICK,Steven WELZER,Michael R. BOLLENTIN
"North Brunswick, District 20",1530,638,59,28,16,14,11
"North Brunswick, District 21",1696,607,67,25,15,19,11
"North Brunswick, District 22",1330,576,50,21,15,17,8
"North Brunswick, District 23",1313,588,52,19,15,16,9
"North Brunswick, District 24",1297,543,50,22,21,15,10
"North Brunswick, District 25",1622,711,64,28,22,19,12
"North Brunswick, District 26",1301,550,50,20,16,19,10
"North Brunswick, District 27",1672,582,57,25,16,19,10
"Old Bridge, Ward 1, District 10",746,686,37,15,12,10,8
"Old Bridge, Ward 2, District 6",695,641,36,14,12,10,5
"Old Bridge, Ward 2, District 7",866,767,37,15,14,12,6
"Old Bridge, Ward 3, District 1",1047,905,60,21,21,16,7
"Old Bridge, Ward 3, District 2",1079,966,59,16,20,16,5
"Old Bridge, Ward 3, District 3",1236,766,58,20,19,20,6
"Old Bridge, Ward 3, District 4",1166,794,62,21,18,16,9
"Old Bridge, Ward 3, District 5",1093,883,61,17,18,16,7
"Old Bridge, Ward 3, District 6",970,912,53,21,19,15,7
"Old Bridge, Ward 3, District 7",939,839,44,17,18,16,8
"Old Bridge, Ward 4, District 1",911,822,45,18,18,13,5
"Old Bridge, Ward 4, District 2",858,727,49,15,18,11,7
"Old Bridge, Ward 4, District 4",787,730,41,17,15,12,7
"Old Bridge, Ward 4, District 5",829,794,51,20,19,11,6
"Old Bridge, Ward 4, District 7",809,791,39,15,17,13,5
"Old Bridge, Ward 4, District 8",898,756,43,16,14,11,9
"Old Bridge, Ward 4, District 9",735,684,39,14,13,10,7
"Old Bridge, Ward 5, District 1",804,803,40,17,14,11,6
"Old Bridge, Ward 5, District 2",784,838,47,16,21,10,5
"Old Bridge, Ward 5, District 3",797,769,43,16,16,11,8
"Old Bridge, Ward 5, District 4",800,802,48,16,15,15,6
"Old Bridge, Ward 5, District 5",815,813,49,21,15,11,7
"Old Bridge, Ward 5, District 6",858,904,52,18,19,11,6
"Old Bridge, Ward 5, District 7",911,877,48,18,16,12,6
"Old Bridge, Ward 5, District 8",903,849,48,26,14,11,6
"Old Bridge, Ward 5, District 9",819,811,44,16,14,11,6
"Old Bridge, Ward 6, District 1",875,848,59,28,21,15,8
"Old Bridge, Ward 6, District 2",844,866,49,21,15,10,10
"Old Bridge, Ward 6, District 3",750,739,37,15,15,10,7
"Old Bridge, Ward 6, District 4",803,816,47,17,16,12,6
"Old Bridge, Ward 6, District 5",880,846,46,21,15,15,9
"Old Bridge, Ward 6, District 6",899,850,51,27,14,12,8
"Old Bridge, Ward 6, District 7",865,873,50,16,14,14,7
"Old Bridge, Ward 6, District 8",999,914,43,17,18,14,5
"Plainsboro, District 1",1236,452,40,13,12,18,9
"Plainsboro, District 2",1027,295,38,15,11,14,9
"Plainsboro, District 3",1116,380,35,15,10,13,9
"Plainsboro, District 4",1149,374,36,15,10,17,8
"Plainsboro, District 5",1383,445,36,20,10,21,8
"Plainsboro, District 6",1079,345,25,15,7,11,5
"Plainsboro, District 7",1035,303,23,12,6,11,7
"Plainsboro, District 8",974,275,23,16,9,12,5
"Plainsboro, District 9",1103,355,42,16,9,17,12
"Plainsboro, District 10",1073,377,28,14,8,12,7
"Plainsboro, District 11",913,259,27,15,8,12,5
"Plainsboro, District 12",1013,298,34,14,5,12,7
"South Brunswick, District 1",2060,995,64,23,26,12,14
"South Brunswick, District 2",1946,903,62,24,16,11,13
"South Brunswick, District 3",1932,874,64,22,20,14,14
"South Brunswick, District 4",1859,1007,63,24,18,11,14
"South Brunswick, District 5",1905,900,65,23,17,18,12
"South Brunswick, District 6",1824,908,62,21,16,9,17
"South Brunswick, District 7",1876,878,58,21,18,9,17
"South Brunswick, District 8",1887,915,59,24,18,14,12
"South Brunswick, District 9",1858,876,66,27,16,10,18
"South Brunswick, District 10",1801,871,61,23,18,13,14
"South Brunswick, District 11",1894,882,61,23,16,12,13
"South Brunswick, District 12",1813,849,63,23,17,12,17
"South Brunswick, District 13",1984,852,67,20,15,14,12
"South Brunswick, District 14",1918,831,64,23,17,10,13
"South Brunswick, District 15",2061,933,75,23,20,15,13
"South Brunswick, District 16",2170,942,60,28,14,10,13
"South Brunswick, District 17",1984,824,68,23,19,19,16
"South Brunswick, District 18",1984,862,61,24,17,10,14
"South Brunswick, District 19",1924,815,65,23,18,12,12
"South Brunswick, District 20",1862,842,63,23,15,17,13
"South Brunswick, District 21",1922,912,57,21,19,11,12
"South Brunswick, District 22",2007,893,70,23,18,10,12
"South Brunswick, District 23",1982,821,64,23,17,10,14
"South Brunswick, District 24",1853,883,63,28,19,12,13
"South Brunswick, District 25",1983,844,59,20,18,13,15
"South Brunswick, District 26",2080,987,66,30,17,11,16
"South Brunswick, District 27",2006,900,56,23,17,9,15
"South Brunswick, District 28",2100,913,59,24,18,11,18
"South Brunswick, District 29",1985,856,61,25,17,13,13
"South Brunswick, District 30",1946,830,69,23,14,10,14
"South River, District 1",422,297,19,7,3,3,6
"South River, District 2",389,297,22,7,2,4,7
"South River, District 3",371,335,22,9,5,3,6
"South River, District 4",367,323,16,10,2,4,6
"South River, District 5",400,344,18,9,2,5,10
"South River, District 6",420,335,19,8,3,4,8
"South River, District 7",406,314,21,7,1,5,7
"South River, District 8",379,339,25,9,4,3,8
"South River, District 9",408,289,22,9,1,4,7
"South River, District 10",580,426,20,9,4,6,6
"South River, District 11",452,340,23,11,3,6,7
"South River, District 12",434,311,29,12,5,5,8
"South River, District 13",389,314,25,9,7,4,7
"South River, District 14",381,331,23,12,4,6,9
"Spotswood, District 1",428,520,48,16,20,2,7
"Spotswood, District 2",284,379,27,11,18,4,3
"Spotswood, District 3",278,320,27,8,14,3,4
"Spotswood, District 4",302,326,27,10,13,4,8
"Spotswood, District 5",348,400,38,20,14,6,10
"Spotswood, District 6",292,315,27,9,11,6,5
"Spotswood, District 7",264,398,27,9,14,5,5
Total,306974,197684,10749,4583,4027,2994,2713
