District,"Frank PALLONE, Jr.",Brent SONNEK-SCHMELZ,Rajit B. MALLIAH,Judith SHAMY
"New Brunswick, Ward 5, District 3",851,157,18,15
"New Brunswick, Ward 5, District 4",804,143,11,12
"New Brunswick, Ward 6, District 1",944,182,17,17
"New Brunswick, Ward 6, District 2",746,151,14,12
"New Brunswick, Ward 6, District 3",893,188,16,15
"New Brunswick, Ward 6, District 4",871,175,16,15
"New Brunswick, Ward 6, District 5",742,148,12,13
"New Brunswick, Ward 6, District 6",881,174,14,14
"Old Bridge, Ward 1, District 1",862,638,12,12
"Old Bridge, Ward 1, District 2",866,628,12,12
"Old Bridge, Ward 1, District 3",880,642,14,17
"Old Bridge, Ward 1, District 4",864,640,13,12
"Old Bridge, Ward 1, District 5",1228,802,17,16
"Old Bridge, Ward 1, District 6",821,619,13,10
"Old Bridge, Ward 1, District 7",785,608,11,10
"Old Bridge, Ward 1, District 8",1071,877,10,15
"Old Bridge, Ward 1, District 9",840,642,11,18
"Old Bridge, Ward 2, District 1",759,573,12,11
"Old Bridge, Ward 2, District 2",1114,829,14,12
"Old Bridge, Ward 2, District 3",1015,801,14,13
"Old Bridge, Ward 2, District 4",1087,696,15,13
"Old Bridge, Ward 2, District 5",1024,850,10,11
"Old Bridge, Ward 4, District 3",999,801,11,15
"Old Bridge, Ward 4, District 6",981,735,14,13
"Perth Amboy, Ward 1, District 1",1636,206,17,12
"Perth Amboy, Ward 1, District 2",1694,189,14,9
"Perth Amboy, Ward 1, District 3",1740,197,18,14
"Perth Amboy, Ward 1, District 4",1638,193,15,9
"Perth Amboy, Ward 1, District 5",1676,191,17,10
"Perth Amboy, Ward 2, District 1",1826,224,20,10
"Perth Amboy, Ward 2, District 2",1784,219,19,10
"Perth Amboy, Ward 3, District 1",1624,186,16,9
"Perth Amboy, Ward 3, District 2",1643,190,15,9
"Perth Amboy, Ward 4, District 1",1604,188,15,10
"Perth Amboy, Ward 4, District 2",1706,186,16,11
"Perth Amboy, Ward 4, District 3",1671,183,14,10
"Perth Amboy, Ward 4, District 4",1657,187,14,10
"Perth Amboy, Ward 4, District 5",1736,203,15,9
"Perth Amboy, Ward 4, District 6",1727,216,18,11
"Perth Amboy, Ward 5, District 1",1674,186,14,10
"Perth Amboy, Ward 5, District 2",1786,207,18,11
"Perth Amboy, Ward 5, District 3",1962,205,16,12
"Perth Amboy, Ward 6, District 1",1629,178,15,12
"Perth Amboy, Ward 6, District 2",1698,196,16,9
"Perth Amboy, Ward 6, District 3",1762,214,14,9
"Perth Amboy, Ward 6, District 4",1806,226,17,9
"Perth Amboy, Ward 6, District 5",1730,241,17,10
"Perth Amboy, Ward 6, District 6",1695,205,14,9
"Perth Amboy, Ward 6, District 7",1712,209,19,10
"Perth Amboy, Ward 6, District 8",1658,183,14,9
"Perth Amboy, Ward 6, District 9",1836,221,18,9
"Perth Amboy, Ward 6, District 10",1771,206,15,11
"Perth Amboy, Ward 6, District 11",1730,212,17,10
"Perth Amboy, Ward 6, District 12",1791,224,16,9
"Perth Amboy, Ward 6, District 13",1836,248,19,10
"Perth Amboy, Ward 6, District 14",1737,194,17,10
"Piscataway, Ward 1, District 1",1975,541,32,14
"Piscataway, Ward 1, District 2",1745,575,31,13
"Piscataway, Ward 1, District 3",1867,604,29,13
"Piscataway, Ward 1, District 4",1783,618,33,16
"Piscataway, Ward 1, District 5",1830,664,33,18
"Piscataway, Ward 1, District 6",1733,662,30,13
"Piscataway, Ward 1, District 7",2070,611,34,17
"Piscataway, Ward 1, District 8",1756,667,30,13
"Piscataway, Ward 1, District 9",1692,620,29,15
"Piscataway, Ward 2, District 1",1744,617,30,14
"Piscataway, Ward 2, District 2",1715,639,31,12
"Piscataway, Ward 2, District 3",1954,657,29,14
"Piscataway, Ward 2, District 4",1707,636,36,12
"Piscataway, Ward 2, District 5",1738,580,32,13
"Piscataway, Ward 2, District 6",1888,698,33,19
"Piscataway, Ward 2, District 7",1940,676,32,14
"Piscataway, Ward 2, District 8",1808,562,30,15
"Piscataway, Ward 2, District 9",1764,600,33,16
"Piscataway, Ward 2, District 10",2072,652,32,13
"Piscataway, Ward 3, District 1",1791,702,32,13
"Piscataway, Ward 3, District 2",1840,655,32,16
"Piscataway, Ward 3, District 3",1748,643,29,13
"Piscataway, Ward 3, District 4",1985,567,32,14
"Piscataway, Ward 3, District 5",1735,576,31,16
"Piscataway, Ward 3, District 6",1705,554,30,14
"Piscataway, Ward 3, District 7",1810,597,34,14
"Piscataway, Ward 3, District 8",1870,636,31,15
"Piscataway, Ward 3, District 9",1681,571,34,14
"Piscataway, Ward 3, District 10",1727,646,32,12
"Piscataway, Ward 4, District 1",1657,596,29,12
"Piscataway, Ward 4, District 2",1710,543,31,16
"Piscataway, Ward 4, District 3",1657,565,29,12
"Piscataway, Ward 4, District 4",1735,569,36,15
"Piscataway, Ward 4, District 5",1974,619,35,12
"Piscataway, Ward 4, District 6",1829,580,35,15
"Piscataway, Ward 4, District 7",1853,606,38,13
"Piscataway, Ward 4, District 8",1779,643,33,15
"Piscataway, Ward 4, District 9",1712,554,30,13
"Piscataway, Ward 4, District 10",1662,582,33,15
"Sayreville, District 1",1095,669,9,17
"Sayreville, District 2",1265,778,12,21
"Sayreville, District 3",1344,822,15,15
"Sayreville, District 4",1116,758,10,17
"Sayreville, District 5",1132,737,11,16
"Sayreville, District 6",1018,675,10,17
"Sayreville, District 7",1092,700,11,21
"Sayreville, District 8",1051,701,10,14
"Sayreville, District 9",1029,705,10,16
"Sayreville, District 10",1234,730,10,17
"Sayreville, District 11",1186,784,12,19
"Sayreville, District 12",1261,815,16,18
"Sayreville, District 13",1111,759,11,16
"Sayreville, District 14",1087,717,12,16
"Sayreville, District 15",1114,744,10,14
"Sayreville, District 16",1122,742,10,17
"Sayreville, District 17",1027,660,9,17
"Sayreville, District 18",1135,755,9,18
"Sayreville, District 19",1040,672,9,15
"Sayreville, District 20",1154,653,12,14
"Sayreville, District 21",1112,712,9,17
"Sayreville, District 22",1063,717,10,15
"Sayreville, District 23",1062,695,11,14
"Sayreville, District 24",1104,796,9,16
"Sayreville, District 25",1097,752,11,17
"Sayreville, District 26",1180,742,11,15
"Sayreville, District 27",1247,735,14,18
"Sayreville, District 28",1223,709,11,16
"Sayreville, District 29",1034,694,10,14
"Sayreville, District 30",1359,795,12,19
"Sayreville, District 31",1311,746,12,20
"Sayreville, District 32",1173,748,11,16
"Sayreville, District 33",1456,647,14,15
"Sayreville, District 34",1211,690,19,14
"Sayreville, District 35",1149,719,9,18
"South Amboy, Ward 1, District 1",202,123,0,3
"South Amboy, Ward 1, District 2",251,149,2,3
"South Amboy, Ward 1, District 3",280,181,5,3
"South Amboy, Ward 2, District 1",190,114,4,5
"South Amboy, Ward 2, District 2",172,117,3,2
"South Amboy, Ward 2, District 3",233,117,6,3
"South Amboy, Ward 3, District 1",217,116,2,2
"South Amboy, Ward 3, District 2",424,284,5,4
"South Amboy, Ward 3, District 3",309,238,2,4
"South Plainfield, District 1",861,477,11,9
"South Plainfield, District 2",800,565,10,6
"South Plainfield, District 3",823,516,11,6
"South Plainfield, District 4",989,677,9,3
"South Plainfield, District 5",734,514,9,6
"South Plainfield, District 6",831,547,10,3
"South Plainfield, District 7",920,545,11,5
"South Plainfield, District 8",845,564,11,4
"South Plainfield, District 9",792,568,11,4
"South Plainfield, District 10",1092,576,15,6
"South Plainfield, District 11",773,514,11,7
"South Plainfield, District 12",752,548,13,4
"South Plainfield, District 13",926,563,10,8
"South Plainfield, District 14",829,608,10,3
"South Plainfield, District 15",972,467,13,5
"Woodbridge, Ward 1, District 1",2246,1095,27,32
"Woodbridge, Ward 1, District 2",2219,1166,23,38
"Woodbridge, Ward 1, District 3",2231,1093,23,33
"Woodbridge, Ward 1, District 4",2263,1146,22,34
"Woodbridge, Ward 1, District 5",2245,1123,21,33
"Woodbridge, Ward 1, District 6",2172,1069,23,36
"Woodbridge, Ward 1, District 7",2384,1172,24,34
"Woodbridge, Ward 1, District 8",2120,1022,23,30
"Woodbridge, Ward 1, District 9",2192,1119,24,32
"Woodbridge, Ward 1, District 10",2317,1142,23,33
"Woodbridge, Ward 1, District 11",2197,1115,23,34
"Woodbridge, Ward 1, District 12",2299,1059,23,33
"Woodbridge, Ward 1, District 13",2349,1168,29,35
"Woodbridge, Ward 1, District 14",2253,1077,23,31
"Woodbridge, Ward 1, District 15",2210,1139,24,33
"Woodbridge, Ward 2, District 1",2162,1009,22,32
"Woodbridge, Ward 2, District 2",2186,1083,23,32
"Woodbridge, Ward 2, District 3",2240,1111,27,31
"Woodbridge, Ward 2, District 4",2207,1139,26,33
"Woodbridge, Ward 2, District 5",2183,1084,24,37
"Woodbridge, Ward 2, District 6",2206,1073,21,31
"Woodbridge, Ward 2, District 7",2247,1093,23,32
"Woodbridge, Ward 2, District 8",2314,1143,24,35
"Woodbridge, Ward 2, District 9",2206,1141,24,33
"Woodbridge, Ward 2, District 10",2190,1079,26,32
"Woodbridge, Ward 2, District 11",2215,1091,23,39
"Woodbridge, Ward 2, District 12",2244,1124,23,31
"Woodbridge, Ward 2, District 13",2355,1104,23,31
"Woodbridge, Ward 2, District 14",2315,1030,21,30
"Woodbridge, Ward 2, District 15",2230,1047,22,30
"Woodbridge, Ward 3, District 1",2149,1078,24,32
"Woodbridge, Ward 3, District 2",2321,1161,24,33
"Woodbridge, Ward 3, District 3",2173,1121,22,34
"Woodbridge, Ward 3, District 4",2135,1075,23,32
"Woodbridge, Ward 3, District 5",2198,1100,23,31
"Woodbridge, Ward 3, District 6",2241,1077,21,35
"Woodbridge, Ward 3, District 7",2215,1116,21,31
"Woodbridge, Ward 3, District 8",2203,1047,23,36
"Woodbridge, Ward 3, District 9",2218,1100,27,31
"Woodbridge, Ward 3, District 10",2419,1111,26,35
"Woodbridge, Ward 3, District 11",2294,1000,21,31
"Woodbridge, Ward 3, District 12",2352,1031,24,30
"Woodbridge, Ward 3, District 13",2298,1138,22,35
"Woodbridge, Ward 4, District 1",2947,1303,28,34
"Woodbridge, Ward 4, District 2",2731,1332,28,38
"Woodbridge, Ward 4, District 3",2673,1263,26,35
"Woodbridge, Ward 4, District 4",2629,1252,28,35
"Woodbridge, Ward 4, District 5",2714,1274,30,36
"Woodbridge, Ward 4, District 6",2640,1277,26,34
"Woodbridge, Ward 4, District 7",2810,1337,31,38
"Woodbridge, Ward 4, District 8",2759,1312,30,38
"Woodbridge, Ward 4, District 9",2826,1329,29,35
"Woodbridge, Ward 4, District 10",2839,1300,28,39
"Woodbridge, Ward 4, District 11",2757,1262,28,38
"Woodbridge, Ward 4, District 12",2671,1242,28,34
"Woodbridge, Ward 4, District 13",2653,1278,28,37
"Woodbridge, Ward 4, District 14",2706,1283,27,35
"Woodbridge, Ward 5, District 1",2158,1165,23,33
"Woodbridge, Ward 5, District 2",2178,1068,23,34
"Woodbridge, Ward 5, District 3",2151,1104,23,33
"Woodbridge, Ward 5, District 4",2161,1118,22,35
"Woodbridge, Ward 5, District 5",2272,1160,21,35
"Woodbridge, Ward 5, District 6",2287,1145,24,35
"Woodbridge, Ward 5, District 7",2264,1195,23,35
"Woodbridge, Ward 5, District 8",2216,1162,23,33
"Woodbridge, Ward 5, District 9",2341,1111,27,35
"Woodbridge, Ward 5, District 10",2246,1199,23,33
"Woodbridge, Ward 5, District 11",2214,1142,23,32
"Woodbridge, Ward 5, District 12",2240,1198,26,32
"Woodbridge, Ward 5, District 13",2195,1139,21,35
"Woodbridge, Ward 5, District 14",2200,1116,24,31
"Woodbridge, Ward 5, District 15",2165,1077,25,31
"Woodbridge, Ward 5, District 16",2280,1184,25,33
"Woodbridge, Ward 5, District 17",2187,1144,24,35
"Woodbridge, Ward 5, District 18",2129,1084,21,31
Total,687922,274907,7223,7302
