District,Hillary Rodham CLINTON,Donald J. TRUMP,Gary JOHNSON,Jill STEIN,Alyson KENNEDY,Darrell CASTLE,Monica MOOREHEAD,Rocky Roque De La FUENTE,Gloria La RIVA
"East Brunswick, District 38",224,181,6,8,2,0,1,0,0
"East Brunswick, District 39",217,180,7,9,0,1,0,0,0
"East Brunswick, District 40",298,195,6,3,0,0,0,0,0
"Edison, District 1",3766,1746,84,45,3,14,1,2,2
"Edison, District 2",613,177,5,5,1,1,2,0,0
"Edison, District 3",252,193,8,1,2,0,0,0,0
"Edison, District 4",156,143,6,2,0,0,0,0,0
"Edison, District 5",257,149,6,6,0,0,0,0,0
"Edison, District 6",294,95,5,4,1,0,0,0,0
"Edison, District 7",109,89,4,4,0,1,0,0,0
"Edison, District 8",151,136,7,6,0,0,0,0,0
"Edison, District 9",111,119,2,2,0,0,0,0,0
"Edison, District 10",163,197,7,3,0,0,1,0,0
"Edison, District 11",238,185,12,7,0,1,0,0,1
"Edison, District 12",308,189,6,2,1,0,0,1,0
"Edison, District 13",239,103,4,5,1,0,0,0,1
"Edison, District 14",254,250,13,6,0,1,1,0,0
"Edison, District 15",249,199,7,6,0,2,0,0,0
"Edison, District 16",255,207,10,1,1,1,1,0,0
"Edison, District 17",203,167,7,5,1,1,0,0,0
"Edison, District 18",152,117,4,3,0,0,0,0,0
"Edison, District 19",200,153,5,3,0,1,0,0,0
"Edison, District 20",177,100,7,3,0,0,0,0,0
"Edison, District 21",197,171,7,2,0,0,0,0,0
"Edison, District 22",147,157,2,3,0,0,0,0,0
"Edison, District 23",213,193,6,7,2,0,0,0,0
"Edison, District 24",193,140,9,5,1,0,0,0,0
"Edison, District 25",183,118,8,2,0,0,0,0,0
"Edison, District 26",186,168,8,4,1,1,0,1,0
"Edison, District 27",218,332,15,1,1,0,0,1,0
"Edison, District 28",166,39,2,2,0,0,0,0,0
"Edison, District 29",263,187,3,1,1,1,0,1,1
"Edison, District 30",337,242,7,8,0,1,1,1,0
"Edison, District 31",218,168,9,11,0,1,0,0,0
"Edison, District 32",212,87,4,6,0,0,0,0,0
"Edison, District 33",199,134,15,1,1,0,0,0,0
"Edison, District 34",129,124,7,0,0,0,0,0,0
"Edison, District 35",233,150,8,4,0,0,0,0,0
"Edison, District 36",221,106,12,0,0,0,0,0,0
"Edison, District 37",219,222,9,4,0,0,0,0,0
"Edison, District 38",251,128,9,1,0,1,0,0,0
"Edison, District 39",409,73,7,8,0,1,0,0,0
"Edison, District 40",210,152,5,1,0,1,0,0,0
"Edison, District 41",179,102,10,6,0,0,0,0,0
"Edison, District 42",214,73,2,5,1,0,0,0,0
"Edison, District 43",554,134,1,10,1,0,0,0,0
"Edison, District 44",231,180,5,7,0,0,1,0,0
"Edison, District 45",209,146,5,5,0,0,0,0,0
"Edison, District 46",149,141,11,2,1,1,0,0,0
"Edison, District 47",169,134,9,2,2,0,0,0,0
"Edison, District 48",119,108,3,0,0,0,2,0,0
"Edison, District 49",176,208,12,2,0,2,1,2,0
"Edison, District 50",231,136,6,1,0,2,0,0,0
"Edison, District 51",156,112,2,4,2,0,0,0,0
"Edison, District 52",174,161,5,5,0,0,0,0,0
"Edison, District 53",237,164,11,3,0,1,0,0,0
"Edison, District 54",210,127,4,3,0,0,0,0,0
"Edison, District 55",141,123,2,1,0,0,0,0,0
"Edison, District 56",158,124,9,1,1,0,0,0,0
"Edison, District 57",212,155,3,3,0,1,0,1,0
"Edison, District 58",341,65,2,4,0,0,0,0,0
"Edison, District 59",155,119,6,1,1,3,0,0,0
"Edison, District 60",167,140,10,1,0,1,0,0,0
"Edison, District 61",279,184,8,4,0,0,1,0,0
"Edison, District 62",182,152,8,1,0,1,0,0,0
"Edison, District 63",465,131,9,12,2,1,2,0,1
"Edison, District 64",402,184,8,9,0,0,1,1,0
"Edison, District 65",326,176,8,7,0,0,0,0,0
"Edison, District 66",325,188,6,2,0,0,0,0,0
"Edison, District 67",273,230,8,6,1,1,0,0,0
"Edison, District 68",303,252,8,7,0,0,0,0,0
"Edison, District 69",222,115,2,4,0,0,0,0,0
"Edison, District 70",439,180,6,2,0,1,0,0,0
"Edison, District 71",298,135,3,5,1,0,1,0,0
"Edison, District 72",514,229,5,4,1,0,0,0,0
"Edison, District 73",286,216,7,1,1,0,0,2,0
"Edison, District 74",227,154,4,3,0,0,0,0,0
"Edison, District 75",297,71,2,3,0,1,0,0,0
"Edison, District 76",336,202,3,2,0,3,0,0,0
"Edison, District 77",455,153,5,3,0,0,2,0,0
"Edison, District 78",345,74,0,1,1,0,0,0,0
"Helmetta, District 1",420,619,24,9,0,0,0,0,0
"Highland Park, District 1",1174,308,32,33,1,2,0,1,0
"Highland Park, District 2",308,58,1,13,0,1,0,0,0
"Highland Park, District 3",280,63,9,11,0,1,0,1,0
"Highland Park, District 4",283,43,5,8,0,0,0,0,0
"Highland Park, District 5",341,120,16,7,0,0,0,1,0
"Highland Park, District 6",343,59,7,12,0,1,0,0,0
"Highland Park, District 7",366,55,6,13,0,0,0,0,0
"Highland Park, District 8",329,43,9,13,0,0,1,0,0
"Highland Park, District 9",259,93,6,7,1,0,0,0,0
"Highland Park, District 10",260,153,11,9,0,0,0,0,2
"Highland Park, District 11",298,150,12,11,0,0,0,0,0
"Highland Park, District 12",229,66,6,6,0,1,0,0,0
"Highland Park, District 13",290,67,8,7,0,1,1,0,1
"Jamesburg, District 1",328,384,16,10,0,1,0,0,0
"Jamesburg, District 2",145,168,7,7,0,0,0,0,0
"Jamesburg, District 3",177,173,10,6,0,1,0,0,0
"Jamesburg, District 4",259,297,13,5,0,0,1,0,0
"Metuchen, District 1",1107,537,42,23,1,5,0,2,0
"Metuchen, District 2",373,182,29,4,0,1,0,0,0
"Metuchen, District 3",306,141,12,7,2,0,1,0,0
"Metuchen, District 4",283,123,10,5,1,1,0,0,0
"Metuchen, District 5",294,177,7,3,1,1,0,1,0
"Metuchen, District 6",252,143,5,4,0,0,0,0,0
"Metuchen, District 7",234,144,11,4,1,1,0,0,0
"Metuchen, District 8",245,122,16,4,0,0,0,2,0
"Metuchen, District 9",205,106,10,6,1,0,0,1,0
"Metuchen, District 10",393,216,21,6,2,0,0,0,0
"Metuchen, District 11",546,240,20,13,0,0,0,0,0
"Metuchen, District 12",242,159,7,4,0,2,0,1,1
"Metuchen, District 13",184,117,10,2,0,1,0,1,0
"Middlesex, District 1",503,476,19,11,3,2,1,1,0
"Middlesex, District 2",289,367,12,11,0,0,1,0,0
"Middlesex, District 3",266,197,3,9,0,0,0,0,0
"Middlesex, District 4",245,362,9,4,0,2,0,0,0
"Middlesex, District 5",221,366,15,2,4,3,0,0,0
"Middlesex, District 6",111,219,8,6,1,0,0,0,1
"Middlesex, District 7",245,368,17,9,1,2,0,1,0
"Middlesex, District 8",234,333,13,1,1,1,0,0,0
"Middlesex, District 9",264,320,8,5,0,0,0,0,0
"Middlesex, District 10",356,281,17,5,2,1,1,0,2
"Milltown, District 1",373,387,14,8,1,1,0,0,0
"Milltown, District 2",184,295,9,12,1,1,0,0,0
"Milltown, District 3",161,169,6,2,0,0,0,0,0
"Milltown, District 4",121,154,13,6,0,0,0,0,1
"Milltown, District 5",201,205,5,5,1,0,1,0,0
"Milltown, District 6",95,143,8,5,1,0,0,0,0
"Milltown, District 7",182,301,13,8,1,1,0,1,0
"Milltown, District 8",152,263,12,8,1,0,1,0,0
"Milltown, District 9",111,159,9,1,1,0,0,0,2
"Monroe, Ward 1, District 1",1768,1235,40,15,2,5,1,1,1
"Monroe, Ward 1, District 2",190,220,4,3,1,0,0,0,0
"Monroe, Ward 1, District 3",178,169,3,1,1,0,0,0,0
"Monroe, Ward 1, District 4",191,226,4,3,0,0,1,0,0
"Monroe, Ward 1, District 5",192,185,1,1,0,0,0,0,0
"Monroe, Ward 1, District 6",140,120,5,1,0,0,0,0,0
"Monroe, Ward 1, District 7",178,177,1,3,1,1,0,0,0
"Monroe, Ward 1, District 8",139,104,1,1,0,0,1,0,0
"Monroe, Ward 1, District 9",218,157,2,1,0,1,0,0,0
"Monroe, Ward 1, District 10",221,174,0,3,0,0,0,0,0
"Monroe, Ward 1, District 11",118,194,6,5,1,0,0,0,0
"Monroe, Ward 1, District 12",356,215,10,4,0,0,1,0,0
"Monroe, Ward 1, District 13",354,253,8,1,0,0,0,0,0
"Monroe, Ward 1, District 14",607,273,8,7,0,0,0,0,0
"Monroe, Ward 1, District 15",241,151,6,7,0,0,0,0,1
"Monroe, Ward 1, District 16",189,216,0,0,0,0,0,0,0
"Monroe, Ward 1, District 17",353,204,6,1,0,1,1,0,0
"Monroe, Ward 2, District 1",1397,1175,39,22,1,1,1,0,0
"Monroe, Ward 2, District 2",284,353,12,8,0,2,1,0,0
"Monroe, Ward 2, District 3",277,171,1,1,1,0,0,0,0
"Monroe, Ward 2, District 4",235,449,11,2,2,0,0,1,0
"Monroe, Ward 2, District 5",207,138,3,1,1,0,0,0,0
"Monroe, Ward 2, District 6",235,157,2,3,0,0,0,0,0
"Monroe, Ward 2, District 7",301,157,3,3,0,0,0,0,0
"Monroe, Ward 2, District 8",183,121,3,0,0,0,0,0,0
"Monroe, Ward 2, District 9",283,173,8,3,0,0,0,0,0
"Monroe, Ward 2, District 10",246,233,2,2,1,0,0,0,0
"Monroe, Ward 2, District 11",187,154,3,1,0,0,0,0,0
"Monroe, Ward 2, District 12",266,137,6,0,0,0,0,0,0
"Monroe, Ward 2, District 13",319,351,13,4,0,0,0,0,0
"Monroe, Ward 2, District 14",309,242,4,2,1,0,0,0,0
"Monroe, Ward 2, District 15",270,201,3,1,0,1,0,0,0
"Monroe, Ward 3, District 1",169,291,5,9,0,1,1,0,0
"Monroe, Ward 3, District 2",159,217,10,1,0,0,1,0,0
"Monroe, Ward 3, District 3",159,244,9,5,1,1,0,0,0
"Monroe, Ward 3, District 4",197,321,6,5,1,0,0,0,0
"Monroe, Ward 3, District 5",306,356,16,6,0,1,1,1,0
"Monroe, Ward 3, District 6",162,270,6,1,0,0,0,0,0
"Monroe, Ward 3, District 7",225,409,7,1,0,0,0,0,0
"Monroe, Ward 3, District 8",216,315,11,6,0,1,0,1,0
"Monroe, Ward 3, District 9",264,489,19,6,1,1,1,0,1
"Monroe, Ward 3, District 10",419,358,4,2,0,0,0,0,0
"Monroe, Ward 3, District 11",239,201,3,0,0,1,0,0,0
"New Brunswick, Ward 1, District 1",1296,189,31,25,3,3,2,3,0
"New Brunswick, Ward 1, District 2",246,71,4,4,0,0,1,0,0
"New Brunswick, Ward 1, District 3",285,32,2,5,1,0,1,1,0
"New Brunswick, Ward 1, District 4",290,86,12,9,1,0,0,0,0
"New Brunswick, Ward 1, District 5",273,178,11,1,0,2,0,0,0
"New Brunswick, Ward 1, District 6",344,56,8,11,1,0,0,0,0
"New Brunswick, Ward 2, District 1",505,36,12,11,1,0,1,0,0
"New Brunswick, Ward 2, District 2",214,11,3,5,1,0,0,0,0
"New Brunswick, Ward 2, District 3",270,27,2,8,2,0,0,0,0
"New Brunswick, Ward 2, District 4",233,19,10,7,1,0,0,0,0
"New Brunswick, Ward 2, District 5",243,35,2,2,0,0,1,0,0
"New Brunswick, Ward 2, District 6",188,37,2,2,1,0,1,0,0
"New Brunswick, Ward 2, District 7",603,54,7,6,0,0,1,0,0
"New Brunswick, Ward 4, District 1",271,29,5,8,3,1,1,0,0
"New Brunswick, Ward 4, District 2",474,23,2,3,2,1,2,0,1
"New Brunswick, Ward 4, District 3",217,18,2,3,0,0,0,0,0
"New Brunswick, Ward 4, District 4",285,56,1,6,0,1,0,0,0
"New Brunswick, Ward 4, District 5",279,26,0,2,1,0,0,0,1
"New Brunswick, Ward 5, District 1",368,70,17,6,0,0,0,0,0
"New Brunswick, Ward 5, District 2",131,12,2,4,2,0,0,0,0
"New Brunswick, Ward 5, District 3",224,47,4,15,0,1,1,0,1
"New Brunswick, Ward 5, District 4",188,38,4,4,1,0,0,0,0
"New Brunswick, Ward 6, District 1",343,66,11,7,0,0,0,1,0
"New Brunswick, Ward 6, District 2",110,43,3,6,0,0,0,0,0
"New Brunswick, Ward 6, District 3",270,78,14,10,0,0,0,0,0
"New Brunswick, Ward 6, District 4",232,82,7,8,0,1,0,0,0
"New Brunswick, Ward 6, District 5",119,42,5,3,0,1,0,0,0
"New Brunswick, Ward 6, District 6",278,55,3,6,0,0,0,1,0
"North Brunswick, District 1",1585,696,43,22,4,1,1,1,0
"North Brunswick, District 2",339,221,11,1,1,1,0,0,0
"North Brunswick, District 3",265,124,3,3,2,0,0,2,0
"North Brunswick, District 4",459,164,11,5,2,0,0,1,0
"North Brunswick, District 5",376,211,10,7,2,2,0,0,0
"North Brunswick, District 6",323,115,10,7,0,0,0,0,0
"North Brunswick, District 7",271,239,5,6,0,0,0,1,0
"North Brunswick, District 8",180,100,5,3,0,1,0,0,0
"North Brunswick, District 9",341,215,11,4,2,0,0,0,0
"North Brunswick, District 10",167,128,3,0,0,0,0,1,0
"North Brunswick, District 11",434,373,9,6,2,0,1,1,0
"North Brunswick, District 12",252,83,6,6,0,1,0,0,0
"North Brunswick, District 13",214,177,3,4,0,1,0,0,0
"North Brunswick, District 14",153,86,9,1,1,1,0,0,1
"North Brunswick, District 15",213,37,1,4,1,0,0,0,0
"North Brunswick, District 16",260,111,11,10,0,0,0,0,0
"North Brunswick, District 17",330,115,9,9,0,2,0,0,0
"North Brunswick, District 18",197,149,6,4,0,0,0,0,0
"North Brunswick, District 19",523,167,9,6,0,0,0,1,0
"North Brunswick, District 20",554,218,9,6,0,0,0,0,0
"North Brunswick, District 21",748,186,6,5,0,0,3,0,0
"North Brunswick, District 22",351,126,5,6,1,2,0,0,0
"North Brunswick, District 23",326,145,9,3,2,0,0,0,0
"North Brunswick, District 24",318,94,10,3,0,1,1,0,0
"North Brunswick, District 25",697,304,17,6,4,1,0,0,0
"North Brunswick, District 26",321,94,10,3,0,0,1,0,0
"North Brunswick, District 27",718,132,7,19,0,0,0,0,0
"Old Bridge, Ward 1, District 1",252,287,11,4,2,0,0,0,0
"Old Bridge, Ward 1, District 2",769,785,24,17,0,4,2,0,1
"Old Bridge, Ward 1, District 3",170,220,12,6,0,0,0,1,0
"Old Bridge, Ward 1, District 4",150,230,8,5,1,0,1,0,0
"Old Bridge, Ward 1, District 5",498,443,14,15,0,2,0,1,1
"Old Bridge, Ward 1, District 6",124,189,1,2,0,0,0,1,0
"Old Bridge, Ward 1, District 7",87,165,2,2,0,0,0,1,0
"Old Bridge, Ward 1, District 8",380,454,17,8,0,0,2,0,0
"Old Bridge, Ward 1, District 9",146,202,10,3,2,0,0,1,0
"Old Bridge, Ward 1, District 10",909,908,32,20,0,1,0,1,1
"Old Bridge, Ward 2, District 1",78,104,4,1,0,0,0,0,0
"Old Bridge, Ward 2, District 2",433,381,14,3,0,1,2,0,0
"Old Bridge, Ward 2, District 3",327,375,11,2,0,6,0,0,0
"Old Bridge, Ward 2, District 4",423,247,6,4,1,0,0,0,0
"Old Bridge, Ward 2, District 5",318,451,9,5,0,1,0,0,0
"Old Bridge, Ward 2, District 6",29,40,2,0,0,0,0,0,0
"Old Bridge, Ward 2, District 7",216,203,6,1,0,0,0,0,0
"Old Bridge, Ward 2, District 8",195,270,10,4,0,0,1,0,0
"Old Bridge, Ward 3, District 1",467,397,22,12,0,0,0,0,0
"Old Bridge, Ward 3, District 2",252,316,15,17,2,1,0,0,0
"Old Bridge, Ward 3, District 3",490,80,4,9,3,0,1,0,0
"Old Bridge, Ward 3, District 4",402,139,3,3,1,1,1,0,0
"Old Bridge, Ward 3, District 5",286,217,8,9,1,4,0,1,0
"Old Bridge, Ward 3, District 6",178,233,8,4,1,0,1,0,0
"Old Bridge, Ward 3, District 7",128,149,5,6,0,0,0,0,0
"Old Bridge, Ward 4, District 1",269,257,6,9,2,0,1,0,0
"Old Bridge, Ward 4, District 2",206,155,8,3,1,1,0,0,0
"Old Bridge, Ward 4, District 3",314,393,8,5,1,0,0,0,0
"Old Bridge, Ward 4, District 4",135,151,5,4,2,0,0,1,0
"Old Bridge, Ward 4, District 5",178,236,6,4,0,0,2,1,0
"Old Bridge, Ward 4, District 6",279,303,7,7,1,1,0,0,0
"Old Bridge, Ward 4, District 7",155,206,7,4,0,0,0,0,0
"Old Bridge, Ward 4, District 8",273,188,8,1,3,0,0,0,0
"Old Bridge, Ward 4, District 9",72,104,2,1,0,0,0,0,0
"Old Bridge, Ward 5, District 1",154,233,4,2,0,0,0,0,0
"Old Bridge, Ward 5, District 2",128,267,10,3,0,1,0,0,0
"Old Bridge, Ward 5, District 3",133,213,11,5,0,1,0,0,1
"Old Bridge, Ward 5, District 4",146,261,6,7,1,0,1,0,0
"Old Bridge, Ward 5, District 5",155,263,14,5,1,1,0,1,0
"Old Bridge, Ward 5, District 6",224,349,10,3,0,1,0,2,0
"Old Bridge, Ward 5, District 7",277,310,16,3,0,0,0,1,1
"Old Bridge, Ward 5, District 8",299,311,9,5,0,0,0,0,0
"Old Bridge, Ward 5, District 9",167,234,9,6,0,0,0,0,0
"Old Bridge, Ward 5, District 10",287,278,6,7,0,1,0,0,0
"Old Bridge, Ward 6, District 1",251,324,18,6,1,1,0,0,0
"Old Bridge, Ward 6, District 2",206,333,9,3,1,0,0,0,0
"Old Bridge, Ward 6, District 3",81,169,11,2,0,0,0,0,0
"Old Bridge, Ward 6, District 4",142,245,9,9,2,1,0,0,0
"Old Bridge, Ward 6, District 5",238,299,6,8,1,0,1,0,0
"Old Bridge, Ward 6, District 6",257,309,7,8,1,0,0,1,0
"Old Bridge, Ward 6, District 7",212,318,9,4,0,2,0,0,0
"Old Bridge, Ward 6, District 8",363,347,14,9,2,0,0,0,0
"Perth Amboy, Ward 1, District 1",2753,419,16,25,6,0,0,2,1
"Perth Amboy, Ward 1, District 2",274,43,2,2,2,1,0,0,1
"Perth Amboy, Ward 1, District 3",319,55,3,4,2,0,0,0,1
"Perth Amboy, Ward 1, District 4",177,36,3,3,1,0,0,0,0
"Perth Amboy, Ward 1, District 5",232,41,1,4,1,0,1,0,1
"Perth Amboy, Ward 2, District 1",430,83,7,10,2,0,1,0,0
"Perth Amboy, Ward 2, District 2",360,87,7,7,1,0,0,0,0
"Perth Amboy, Ward 3, District 1",190,32,0,4,2,0,0,0,1
"Perth Amboy, Ward 3, District 2",216,41,1,2,0,0,0,0,0
"Perth Amboy, Ward 4, District 1",166,33,0,2,1,0,0,0,0
"Perth Amboy, Ward 4, District 2",269,36,4,2,1,0,1,0,0
"Perth Amboy, Ward 4, District 3",231,41,2,2,1,1,0,0,0
"Perth Amboy, Ward 4, District 4",204,34,4,1,2,1,0,0,0
"Perth Amboy, Ward 4, District 5",324,52,3,3,1,0,0,1,0
"Perth Amboy, Ward 4, District 6",266,85,3,2,1,0,0,0,0
"Perth Amboy, Ward 5, District 1",257,28,1,2,1,0,0,0,1
"Perth Amboy, Ward 5, District 2",371,59,1,5,0,0,0,0,0
"Perth Amboy, Ward 5, District 3",557,54,6,2,0,0,0,0,0
"Perth Amboy, Ward 6, District 1",187,20,5,0,4,0,0,0,0
"Perth Amboy, Ward 6, District 2",243,41,2,2,2,0,0,0,0
"Perth Amboy, Ward 6, District 3",321,82,1,2,0,0,0,0,0
"Perth Amboy, Ward 6, District 4",382,100,1,4,0,0,1,0,0
"Perth Amboy, Ward 6, District 5",285,108,4,3,0,0,2,1,0
"Perth Amboy, Ward 6, District 6",253,63,1,4,0,0,0,1,0
"Perth Amboy, Ward 6, District 7",256,65,1,8,1,0,0,0,0
"Perth Amboy, Ward 6, District 8",236,20,1,1,1,0,0,0,0
"Perth Amboy, Ward 6, District 9",383,94,3,6,0,0,0,1,0
"Perth Amboy, Ward 6, District 10",315,64,2,1,1,0,0,0,0
"Perth Amboy, Ward 6, District 11",293,82,3,5,0,0,1,0,0
"Perth Amboy, Ward 6, District 12",358,97,2,5,2,0,0,0,0
"Perth Amboy, Ward 6, District 13",380,137,0,8,3,1,0,0,0
"Perth Amboy, Ward 6, District 14",301,55,3,7,0,0,0,0,1
"Piscataway, Ward 1, District 1",2358,668,54,31,4,7,5,2,0
"Piscataway, Ward 1, District 2",314,76,6,6,3,1,1,0,0
"Piscataway, Ward 1, District 3",426,123,6,7,0,0,0,0,0
"Piscataway, Ward 1, District 4",336,128,11,5,0,1,0,0,0
"Piscataway, Ward 1, District 5",377,207,8,7,1,0,0,1,1
"Piscataway, Ward 1, District 6",276,182,11,3,1,0,0,0,0
"Piscataway, Ward 1, District 7",646,131,6,11,2,0,1,0,1
"Piscataway, Ward 1, District 8",330,190,8,3,1,0,0,0,0
"Piscataway, Ward 1, District 9",240,136,14,5,0,0,4,1,0
"Piscataway, Ward 2, District 1",284,144,7,5,2,0,0,0,0
"Piscataway, Ward 2, District 2",268,137,8,7,1,2,0,0,0
"Piscataway, Ward 2, District 3",495,171,7,6,0,1,0,0,0
"Piscataway, Ward 2, District 4",268,144,7,5,1,0,2,0,0
"Piscataway, Ward 2, District 5",294,88,3,5,1,1,0,0,0
"Piscataway, Ward 2, District 6",432,229,16,3,0,1,0,0,1
"Piscataway, Ward 2, District 7",497,206,7,5,0,0,0,0,0
"Piscataway, Ward 2, District 8",367,64,2,4,0,0,0,0,0
"Piscataway, Ward 2, District 9",320,111,4,9,0,0,0,0,0
"Piscataway, Ward 2, District 10",641,163,18,5,1,1,2,0,0
"Piscataway, Ward 3, District 1",321,230,13,11,2,0,0,0,0
"Piscataway, Ward 3, District 2",390,177,9,11,0,0,0,0,0
"Piscataway, Ward 3, District 3",298,170,7,9,2,0,1,1,0
"Piscataway, Ward 3, District 4",543,81,3,7,0,0,0,0,0
"Piscataway, Ward 3, District 5",286,84,8,4,1,5,0,0,0
"Piscataway, Ward 3, District 6",290,38,6,7,1,0,0,1,0
"Piscataway, Ward 3, District 7",360,119,7,7,1,1,2,0,0
"Piscataway, Ward 3, District 8",424,148,9,5,1,0,0,0,0
"Piscataway, Ward 3, District 9",249,61,10,6,0,0,0,1,0
"Piscataway, Ward 3, District 10",267,170,5,9,0,0,1,0,0
"Piscataway, Ward 4, District 1",202,113,5,2,1,0,0,0,0
"Piscataway, Ward 4, District 2",266,48,5,5,0,1,0,0,0
"Piscataway, Ward 4, District 3",214,61,6,4,0,1,1,0,0
"Piscataway, Ward 4, District 4",340,66,16,10,0,0,0,0,0
"Piscataway, Ward 4, District 5",564,103,12,14,3,1,0,0,0
"Piscataway, Ward 4, District 6",461,60,21,9,0,0,0,0,0
"Piscataway, Ward 4, District 7",422,114,6,5,2,1,2,0,0
"Piscataway, Ward 4, District 8",324,177,7,2,2,0,0,0,0
"Piscataway, Ward 4, District 9",251,62,2,4,1,0,0,0,1
"Piscataway, Ward 4, District 10",218,79,7,9,0,0,0,0,0
"Plainsboro, District 1",1585,440,45,19,2,1,0,1,0
"Plainsboro, District 2",317,77,13,6,0,0,0,0,0
"Plainsboro, District 3",408,155,10,6,0,0,0,0,0
"Plainsboro, District 4",432,150,11,13,1,2,0,0,0
"Plainsboro, District 5",758,200,15,13,2,1,0,0,0
"Plainsboro, District 6",352,113,8,1,1,1,0,0,0
"Plainsboro, District 7",318,85,4,2,0,0,0,0,0
"Plainsboro, District 8",223,68,3,1,0,0,0,0,0
"Plainsboro, District 9",396,144,16,5,0,1,1,0,0
"Plainsboro, District 10",348,141,13,2,0,0,1,3,0
"Plainsboro, District 11",167,41,4,1,1,1,0,0,0
"Plainsboro, District 12",293,72,4,5,1,0,0,0,0
"Plainsboro, District 13",363,114,14,3,0,1,0,0,0
"Sayreville, District 1",1093,997,33,22,0,2,1,0,0
"Sayreville, District 2",330,296,8,12,1,1,0,1,0
"Sayreville, District 3",415,346,7,8,1,0,0,0,0
"Sayreville, District 4",180,259,5,13,0,0,0,0,0
